,d,v,x,y
star1,8.999999999999993,1.0471777735812504,-8.94141967499466,-1.0251898339421077
star2,8.999999999999993,1.0471777735812504,8.94141967499466,1.0251898339421077
asteroid1,259.0138339009709,0.4350232221454631,-71.25671817052233,-248.76544345642466
asteroid2,89.50021073528367,0.8847941727412532,-83.17038660327707,-2.6848247521117545
asteroid3,104.50468699660938,0.8391170809744755,1.2400255054362146,3.447289669961524
asteroid4,230.6530387278969,0.38381694174575665,-6.72941242994515,-24.354115372659145
asteroid5,320.699592213927,0.4016165502168268,-4.010425548925425,194.29391327028475
asteroid6,192.16102755865265,0.5148908930797628,122.03109228712125,-99.52607927349968
asteroid7,99.67194357396842,0.8956696917338015,78.83693950051583,-20.082095255707035
asteroid8,66.14072243283593,1.1574249435974182,16.435679657393113,12.67839347091903
asteroid9,91.29640400221814,0.9837196110329078,-44.18169998742817,37.71768890434231
asteroid10,144.79057957328564,0.7194468857531671,-116.346919866389,-13.330067595123062
