,t,x,y,z,d,vx,vy,vz,v,e,ev
307,307.3073073073073,-3.2726722834051016,-8.383890273937983,3.0303323988753147e-19,8.999999999999993,0.975491505667987,-0.3807855194885805,8.879216406877971e-22,1.0471777735812504,0.0,4.188711094325001
308,308.3083083083083,-2.276238393567116,-8.707395636793521,3.038850458732466e-19,8.999999999999991,1.0131323529587268,-0.2648473614573086,8.135028366524492e-22,1.0471777735812504,0.0,4.188711094325002
309,309.30930930930936,-1.2489618608329343,-8.912917270466757,3.0466108495771085e-19,8.999999999999993,1.037045429266807,-0.1453205667461033,7.367197825917415e-22,1.0471777735812504,0.0,4.188711094325001
310,310.31031031031034,-0.20476210741444373,-8.997670391794037,3.0535953698347866e-19,8.999999999999993,1.046906716477425,-0.023824703084007026,6.586684537503386e-22,1.0471777735812506,0.0,4.188711094325001
311,311.31131131131133,0.8422121377161154,-8.960506610403426,3.0597968864917197e-19,8.999999999999991,1.0425825958269272,0.09799398125074077,5.804616865097838e-22,1.0471777735812504,0.0,4.188711094325002
312,312.3123123123123,1.8777745516958684,-8.801929489208787,3.0652194227313343e-19,8.999999999999993,1.024131658414313,0.21848486381471227,5.032129277972118e-22,1.0471777735812504,0.0,4.188711094325001
313,313.31331331331336,2.8878934400321934,-8.524087721217965,3.069878082157293e-19,8.999999999999993,0.9918039113018123,0.3360153136525346,4.280198762301478e-22,1.0471777735812504,0.0,4.188711094325001
314,314.31431431431434,3.858881863675161,-8.130746015108256,3.073798809771446e-19,8.999999999999993,0.9460373899617438,0.44899281316849143,3.5594826845425434e-22,1.0471777735812504,0.0,4.188711094325001
315,315.31531531531533,4.777583094712965,-7.627234084064337,3.0770179925044644e-19,8.999999999999993,0.887452222970392,0.555886536468994,2.880160818508706e-22,1.0471777735812504,0.0,4.188711094325001
316,316.3163163163163,5.631548887796078,-7.020374429071617,3.0795819048778416e-19,8.999999999999993,0.8168422293713293,0.6552480917929184,2.251784368893281e-22,1.0471777735812502,0.0,4.188711094325001
317,317.31731731731736,6.409208151743575,-6.318389895188772,3.081546008237219e-19,8.999999999999993,0.7351641625624504,0.7457311469735156,1.6831348581180324e-22,1.0471777735812502,0.0,4.188711094325001
318,318.31831831831835,7.10002373585947,-5.530792253396615,3.0829741148357475e-19,8.999999999999993,0.6435247464502555,0.8261096720101506,1.1820956593922963e-22,1.0471777735812502,0.0,4.188711094325001
319,319.31931931931933,7.694635206531854,-4.668253317719635,3.0839374307308274e-19,8.999999999999993,0.5431656795292152,0.895294551566215,7.555387316724961e-23,1.0471777735812502,0.0,4.188711094325001
320,320.3203203203203,8.18498567951533,-3.742460343962092,3.0845134938379186e-19,8.999999999999993,0.43544681007848307,0.9523483422965872,4.092287313641194e-23,1.0471777735812502,0.0,4.188711094325001
