,t,x,y,z,d,vx,vy,vz,v,e,ev
554,554.5545545545546,-89.75341628260547,50.04534976459179,-20.199126886198723,104.72925806298713,-0.24689662740429277,-0.14053891860153717,0.8049017299746091,0.8535665921188704,0.0,1.227913144294028
555,555.5555555555557,-89.99744522868026,49.90298008773504,-19.392726692598217,104.71831462499765,-0.24066612902132734,-0.14391567775803626,0.8062779610456117,0.8536486738878788,0.0,1.2279773032730397
556,556.5565565565566,-90.23521637821862,49.75722969408436,-18.58497267428567,104.70710286775082,-0.23439378283737317,-0.14729420613751484,0.8076065838261172,0.8537355696196485,0.0,1.2280430457800768
557,557.5575575575576,-90.46668873889047,49.60809505309402,-17.775912824475345,104.69559657845907,-0.22808157826087663,-0.15067792400156524,0.8088868531056174,0.8538284278767617,0.0,1.2281105263179153
558,558.5585585585586,-90.69182389017747,49.4555695305368,-16.965596086282655,104.68377013023373,-0.22173265246186272,-0.15406957938684232,0.8101176273091288,0.8539282022144392,0.0,1.2281798960747987
559,559.5595595595596,-90.91058708503475,49.29964415505911,-16.154072712242925,104.67159988819112,-0.21535118446921334,-0.15747106646585712,0.811297446617377,0.8540356059989906,0.0,1.2282512946784627
560,560.5605605605606,-91.12294821128988,49.14030854769856,-15.341394535321756,104.65906554698849,-0.20894222130796508,-0.16088328393447376,0.812424630786802,0.8541510777395992,0.0,1.2283248423439594
561,561.5615615615616,-91.32888254722482,48.97755196748763,-14.527615134737086,104.64615131745543,-0.2025114421668641,-0.16430604672672397,0.813497390269482,0.8542747597668595,0.0,1.2284006328980424
562,562.5625625625626,-91.52837125495918,48.81136441420081,-13.71278988722596,104.63284688401033,-0.196064872929469,-0.1677380615342342,0.8145139425087038,0.8544064923823925,0.0,1.2284787281399336
563,563.5635635635637,-91.72140157058647,48.64173772102765,-12.896975903105584,104.61914806592199,-0.18960856918752833,-0.17117697189848924,0.8154726242642705,0.8545458244834703,0.0,1.228559153932354
564,564.5645645645646,-91.90796667041968,48.468666567153036,-12.080231855736512,104.60505713385555,-0.18314829004142072,-0.17461947253418478,0.8163719908007194,0.854692040267805,0.0,1.2286418983096283
565,565.5655655655656,-92.08806521613201,48.29214934389054,-11.262617721709054,104.59058275699856,-0.17668918673581419,-0.17806148590102372,0.8172108938793651,0.8548442001591604,0.0,1.228726911750383
566,566.5665665665666,-92.26170060533475,48.11218881814714,-10.44419445614944,104.57573958284651,-0.17023552906831121,-0.18149838794603187,0.8179885326350603,0.8550011928100658,0.0,1.2288141096056677
567,567.5675675675676,-92.42887997539117,47.92879255252013,-9.625023632075127,104.56054747831891,-0.16379048869381221,-0.18492526541222842,0.8187044742782555,0.8551617941521802,0.0,1.2289033765175041
568,568.5685685685686,-92.589613024613,47.7419730602811,-8.80516707423126,104.54503048419527,-0.15735599260886082,-0.18833718486384798,0.8193586446857497,0.855324729113819,0.0,1.2289945725258937
569,569.5695695695696,-92.74391072490228,47.55174769344402,-7.984686516287814,104.52921555246165,-0.15093265327265606,-0.19172945384322204,0.8199512918423586,0.8554887318304648,0.0,1.22908754045859
570,570.5705705705706,-92.89178400295783,47.35813828063208,-7.163643306109195,104.51313114664973,-0.14451977512577835,-0.19509785707084526,0.8204829273688713,0.8556526008491028,0.0,1.2291821141356523
571,571.5715715715717,-93.0332424639935,47.161170546629535,-6.342098177783889,104.49680578845044,-0.13811543164731152,-0.1984388546543067,0.8209542527845582,0.855815246803122,0.0,1.2292781269011297
572,572.5725725725727,-93.16829322391528,46.96087335619706,-5.520111102119359,104.48026663066084,-0.1317166031289777,-0.20174973401934362,0.8213660776637489,0.8559757311124212,0.0,1.2293754200121763
573,573.5735735735736,-93.2969399048534,46.75727783067645,-4.697741220215773,104.4635381284638,-0.12531936320206527,-0.2050287118820691,0.8217192365794733,0.8561332952608164,0.0,1.2294738504622598
574,574.5745745745746,-93.41918183658387,46.55041638759538,-3.875046858209835,104.44664087000861,-0.11891910161969606,-0.2082749864092308,0.8220145109085071,0.8562873809872202,0.0,1.2295732978790543
575,575.5755755755756,-93.5350134941012,46.34032175188405,-3.0520856157404253,104.4295906149959,-0.11251077141679243,-0.21148874241256327,0.8222525604556237,0.8564376422296479,0.0,1.2296736702089188
576,576.5765765765766,-93.64442419029669,46.12702598361617,-2.2289145163252084,104.41239757780927,-0.10608914978604607,-0.21467111393226548,0.8224338686617939,0.8565839498737124,0.0,1.229774907970781
577,577.5775775775776,-93.74739803268025,45.9105595625087,-1.4055902046385969,104.39506598045625,-0.09964910329148262,-0.21782410905594585,0.8225587040418786,0.8567263903183255,0.0,1.2298769869281563
578,578.5785785785787,-93.84391414420828,45.690950564622334,-0.5821691735354023,104.37759389040788,-0.09318584898282932,-0.22095050161759403,0.8226270995188014,0.8568652586483088,0.0,1.2299799190876397
579,579.5795795795797,-93.93394714006996,45.468223962299014,0.24129199757058156,104.35997334911184,-0.08669520333618805,-0.22405369391929028,0.8226388504740824,0.857001046877833,0.0,1.2300837519869054
580,580.5805805805807,-94.01746784411866,45.24240107445375,1.0647364117943283,104.34219078794646,-0.08017381068360697,-0.22713755420634624,0.8225935315552487,0.8571344273840059,0.0,1.2301885662882892
581,581.5815815815816,-94.0944442199466,45.01349919064726,1.8881066497968888,104.32422771901093,-0.0736193420505826,-0.23020623263391396,0.8224905314794928,0.8572662313662419,0.0,1.2302944717493238
582,582.5825825825826,-94.16484248205326,44.781531388357465,2.7113446079951737,104.3060616778318,-0.06703065441269929,-0.23326396011227754,0.8223291041664426,0.8573974220146926,0.0,1.230401601702538
583,583.5835835835836,-94.22862834220311,44.54650655785166,3.534391395039826,104.2876673835171,-0.06040789976160648,-0.2363148357838716,0.8221084334748333,0.8575290621055421,0.0,1.2305101062451487
584,584.5845845845846,-94.28576833545202,44.30842964235391,4.3571872983215165,104.2690180692741,-0.05375257355824453,-0.23936261086199936,0.8218277076265399,0.8576622759953366,0.0,1.2306201444139795
585,585.5855855855856,-94.33623116051064,44.06730209232879,5.1796718277289315,104.25008692326752,-0.04706749364529271,-0.24241047884702982,0.8214861981769865,0.857798206461272,0.0,1.2307318756977006
586,586.5865865865867,-94.3799889616059,43.82312252158118,6.001783838175539,104.23084856785228,-0.04035670384078934,-0.24546088424783694,0.8210833373154891,0.8579379674881887,0.0,1.2308454513095144
587,587.5875875875877,-94.41701847552103,43.575887539971234,6.823461725802287,104.21128049605086,-0.03362530130992206,-0.2485153632755095,0.8206187865928968,0.8580825948481531,0.0,1.2309610056982419
588,588.5885885885887,-94.44730196964284,43.32559272394152,7.644643685769086,104.19136437972259,-0.026879193097070368,-0.2515744299461806,0.8200924901257001,0.8582329970263709,0.0,1.2310786488027836
589,589.5895895895897,-94.47082790570306,43.07223367336173,8.465268012902461,104.1710871659306,-0.020124794167965258,-0.2546375191934894,0.8195047061036586,0.8583899095675354,0.0,1.2311984595438479
590,590.5905905905906,-94.48759127964443,42.81580709331046,9.285273421050556,104.15044188760977,-0.013368685907627405,-0.2577029948303737,0.8188560120885309,0.8585538561097799,0.0,1.2313204809913034
591,591.5915915915916,-94.49759360970889,42.55631183415,10.104599353635894,104.12942813176593,-0.0066172590666315825,-0.2607682248171069,0.8181472820117266,0.8587251191475628,0.0,1.231444717545488
592,592.5925925925926,-94.50084257035067,42.29374982390017,10.923186257220623,104.108052131825,0.0001236323701009831,-0.2638297200061611,0.8173796356542542,0.858903722908321,0.0,1.2315711343336098
593,593.5935935935936,-94.4973512960177,42.02812683390164,11.74097579215175,104.08632647798362,0.00684898057862916,-0.26688332634491574,0.8165543642915338,0.859089429721635,0.0,1.2316996588621623
594,594.5945945945947,-94.487137403039,41.7594530314487,12.557910959327073,104.06426946732931,0.013554874507687482,-0.2699244554713312,0.8156728386486143,0.8592817500642628,0.0,1.231830184801602
